523 8988
FLIP 1 304
FLIP 1 401
XOR 2 1
FLIP 2 407
FLIP 1 506
AND 2 1
AND 1 2
XOR 2 1
SET 2 217
AND 2 1
XOR 1 2
SET 2 169
XOR 2 1
OR 2 1
SET 1 110
OR 1 2
SET 2 123
FLIP 1 405
AND 2 1
XOR 2 1
SET 2 472
FLIP 1 427
FLIP 2 147
FLIP 1 194
XOR 1 2
AND 1 2
FLIP 2 184
OR 2 1
AND 1 2
XOR 1 2
OR 2 1
XOR 1 2
SET 1 439
FLIP 2 305
AND 2 1
SET 1 403
SET 1 27
OR 1 2
SET 1 417
XOR 2 1
OR 1 2
AND 2 1
FLIP 1 141
AND 1 2
OR 1 2
XOR 1 2
FLIP 1 207
AND 2 1
FLIP 2 353
XOR 2 1
AND 1 2
AND 2 1
OR 1 2
SET 1 337
XOR 2 1
AND 2 1
XOR 2 1
AND 2 1
AND 1 2
FLIP 2 155
XOR 1 2
SET 2 15
AND 1 2
OR 1 2
SET 1 209
XOR 1 2
XOR 1 2
AND 2 1
OR 1 2
AND 2 1
AND 1 2
XOR 1 2
FLIP 1 362
OR 1 2
AND 2 1
XOR 2 1
XOR 2 1
SET 2 417
XOR 2 1
AND 2 1
SET 2 384
OR 2 1
SET 2 349
SET 2 181
SET 1 458
XOR 1 2
XOR 1 2
AND 1 2
FLIP 2 401
AND 1 2
OR 2 1
AND 2 1
FLIP 2 396
FLIP 2 380
AND 2 1
AND 1 2
AND 2 1
XOR 2 1
SET 2 129
AND 1 2
SET 1 324
XOR 1 2
SET 1 390
AND 2 1
AND 2 1
FLIP 1 185
AND 2 1
AND 2 1
OR 2 1
FLIP 1 26
OR 1 2
SET 1 433
FLIP 2 26
SET 1 466
AND 1 2
FLIP 1 518
SET 2 251
AND 1 2
OR 1 2
AND 1 2
AND 1 2
SET 1 88
OR 2 1
XOR 2 1
SET 1 445
AND 1 2
AND 2 1
SET 2 82
OR 2 1
SET 2 414
FLIP 1 237
XOR 1 2
AND 1 2
SET 1 321
FLIP 1 30
FLIP 1 363
XOR 1 2
OR 1 2
SET 1 151
AND 2 1
OR 1 2
AND 1 2
OR 1 2
AND 2 1
SET 2 378
FLIP 2 124
AND 2 1
OR 1 2
AND 1 2
XOR 1 2
SET 2 56
XOR 1 2
FLIP 1 476
FLIP 2 69
SET 1 122
FLIP 1 32
AND 2 1
FLIP 2 176
XOR 1 2
SET 2 90
XOR 2 1
SET 1 522
XOR 2 1
OR 2 1
SET 2 434
AND 1 2
FLIP 2 365
FLIP 1 183
FLIP 1 287
XOR 2 1
XOR 1 2
OR 2 1
OR 1 2
FLIP 1 84
AND 1 2
SET 1 450
XOR 2 1
XOR 1 2
AND 2 1
SET 1 293
FLIP 2 110
OR 2 1
XOR 1 2
FLIP 2 356
FLIP 2 22
AND 1 2
XOR 2 1
AND 2 1
XOR 2 1
OR 2 1
XOR 1 2
AND 1 2
FLIP 1 403
FLIP 2 332
SET 1 437
XOR 1 2
SET 2 319
SET 1 80
OR 1 2
AND 1 2
OR 2 1
AND 2 1
OR 1 2
OR 2 1
XOR 1 2
FLIP 1 153
SET 2 239
FLIP 2 266
FLIP 1 26
SET 1 55
FLIP 2 64
OR 1 2
FLIP 1 131
AND 1 2
AND 1 2
AND 2 1
AND 1 2
SET 1 454
SET 2 326
SET 1 249
OR 1 2
FLIP 2 200
FLIP 2 109
AND 2 1
FLIP 1 390
OR 1 2
AND 2 1
OR 2 1
OR 1 2
FLIP 2 518
AND 1 2
FLIP 1 512
FLIP 2 237
XOR 1 2
FLIP 1 477
OR 2 1
OR 2 1
OR 2 1
AND 2 1
XOR 1 2
AND 1 2
SET 2 6
SET 2 458
OR 2 1
FLIP 2 72
FLIP 1 146
AND 1 2
SET 1 425
SET 2 106
OR 2 1
FLIP 2 154
AND 1 2
FLIP 1 203
FLIP 2 455
SET 1 64
OR 1 2
XOR 1 2
OR 1 2
FLIP 2 368
AND 2 1
AND 2 1
AND 2 1
FLIP 2 230
FLIP 2 361
OR 1 2
FLIP 1 441
FLIP 1 118
SET 1 388
AND 2 1
OR 1 2
FLIP 1 394
FLIP 2 174
AND 2 1
SET 1 421
XOR 2 1
FLIP 2 64
OR 1 2
AND 1 2
OR 1 2
AND 1 2
FLIP 2 5
OR 1 2
XOR 2 1
XOR 2 1
OR 2 1
FLIP 2 443
SET 2 311
AND 1 2
OR 2 1
OR 2 1
FLIP 1 100
FLIP 2 86
FLIP 2 352
SET 1 114
OR 2 1
XOR 2 1
XOR 2 1
FLIP 1 133
SET 2 462
FLIP 2 257
SET 2 41
FLIP 2 109
OR 2 1
OR 1 2
OR 1 2
FLIP 2 372
XOR 2 1
OR 1 2
XOR 2 1
FLIP 2 220
SET 1 96
FLIP 1 63
SET 1 240
OR 1 2
OR 1 2
FLIP 2 516
XOR 2 1
AND 2 1
SET 2 183
SET 2 145
FLIP 1 309
XOR 2 1
SET 2 29
AND 1 2
XOR 2 1
SET 2 200
OR 1 2
FLIP 1 67
OR 1 2
AND 2 1
FLIP 1 297
XOR 1 2
SET 2 85
XOR 2 1
FLIP 1 201
XOR 1 2
AND 2 1
OR 2 1
SET 1 187
AND 1 2
FLIP 1 184
XOR 2 1
OR 2 1
OR 1 2
AND 1 2
AND 1 2
OR 2 1
XOR 1 2
FLIP 1 411
FLIP 2 237
FLIP 1 207
SET 2 58
SET 2 183
SET 2 365
SET 2 202
AND 1 2
FLIP 1 101
FLIP 2 271
XOR 1 2
SET 1 331
XOR 1 2
AND 2 1
FLIP 1 429
OR 1 2
FLIP 1 199
XOR 2 1
FLIP 2 226
OR 2 1
AND 2 1
SET 1 123
SET 1 394
OR 2 1
SET 2 92
AND 2 1
AND 1 2
AND 2 1
XOR 1 2
XOR 1 2
OR 1 2
SET 2 306
XOR 2 1
OR 2 1
OR 1 2
SET 1 8
AND 1 2
SET 2 323
FLIP 1 381
SET 2 328
SET 2 331
OR 2 1
FLIP 1 368
AND 1 2
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
XOR 2 1
XOR 2 1
AND 1 2
XOR 1 2
SET 2 171
FLIP 1 243
XOR 1 2
FLIP 2 324
AND 1 2
SET 1 502
XOR 2 1
OR 2 1
XOR 2 1
FLIP 2 321
XOR 2 1
AND 1 2
XOR 2 1
AND 1 2
AND 2 1
AND 1 2
FLIP 1 189
SET 2 402
OR 1 2
OR 2 1
OR 2 1
FLIP 2 18
SET 2 173
OR 2 1
SET 2 256
FLIP 1 74
FLIP 1 28
XOR 2 1
FLIP 2 398
SET 2 409
SET 2 144
AND 2 1
FLIP 1 333
FLIP 1 422
FLIP 2 493
AND 2 1
AND 1 2
OR 2 1
FLIP 1 5
FLIP 1 239
XOR 1 2
AND 2 1
OR 1 2
OR 2 1
FLIP 1 320
OR 2 1
OR 1 2
FLIP 2 355
SET 2 85
AND 1 2
AND 1 2
FLIP 2 334
FLIP 1 352
SET 1 265
AND 2 1
SET 1 92
OR 2 1
AND 1 2
OR 1 2
FLIP 1 47
SET 1 43
XOR 2 1
OR 2 1
XOR 2 1
AND 2 1
FLIP 1 63
SET 1 374
FLIP 1 506
XOR 2 1
AND 2 1
SET 1 217
OR 2 1
SET 1 396
XOR 2 1
XOR 2 1
AND 2 1
SET 2 454
OR 2 1
XOR 2 1
OR 1 2
SET 2 182
SET 2 461
SET 2 161
FLIP 1 228
OR 1 2
OR 2 1
OR 1 2
SET 1 399
FLIP 1 326
SET 2 15
OR 2 1
FLIP 2 387
FLIP 1 122
XOR 1 2
AND 1 2
SET 2 213
XOR 1 2
FLIP 1 278
FLIP 1 240
SET 1 255
OR 1 2
AND 1 2
FLIP 1 326
OR 2 1
SET 2 81
AND 1 2
FLIP 2 154
AND 2 1
AND 2 1
OR 2 1
FLIP 1 227
AND 2 1
FLIP 2 398
AND 1 2
FLIP 1 448
XOR 1 2
AND 2 1
XOR 2 1
AND 2 1
OR 2 1
SET 1 361
AND 2 1
SET 2 501
AND 1 2
AND 1 2
OR 1 2
XOR 1 2
FLIP 1 392
OR 1 2
SET 1 10
SET 2 10
XOR 1 2
XOR 1 2
AND 2 1
FLIP 1 489
OR 1 2
FLIP 1 139
SET 2 434
OR 2 1
XOR 1 2
FLIP 2 126
FLIP 2 338
AND 2 1
XOR 1 2
OR 2 1
XOR 2 1
XOR 2 1
AND 2 1
SET 1 74
OR 2 1
XOR 2 1
XOR 2 1
XOR 1 2
AND 2 1
OR 2 1
AND 1 2
AND 2 1
XOR 2 1
OR 2 1
FLIP 1 494
XOR 2 1
OR 2 1
OR 2 1
XOR 2 1
OR 2 1
OR 1 2
SET 1 223
OR 1 2
XOR 1 2
XOR 2 1
XOR 2 1
AND 2 1
AND 1 2
AND 2 1
FLIP 1 367
OR 1 2
AND 1 2
FLIP 2 38
FLIP 2 509
FLIP 1 215
AND 2 1
FLIP 2 246
XOR 1 2
OR 1 2
AND 2 1
FLIP 2 457
FLIP 1 374
FLIP 1 67
FLIP 2 226
AND 2 1
OR 1 2
SET 2 261
SET 1 253
OR 2 1
XOR 2 1
AND 2 1
FLIP 2 157
OR 1 2
OR 2 1
AND 2 1
SET 2 476
FLIP 2 359
XOR 2 1
SET 2 498
XOR 1 2
AND 1 2
XOR 2 1
OR 1 2
FLIP 1 91
SET 1 85
FLIP 1 220
AND 1 2
SET 2 285
SET 2 239
AND 1 2
SET 1 458
SET 1 19
FLIP 2 357
AND 1 2
OR 2 1
FLIP 2 311
OR 1 2
AND 1 2
OR 2 1
AND 2 1
AND 2 1
FLIP 1 375
AND 1 2
OR 1 2
AND 1 2
FLIP 1 514
OR 1 2
AND 2 1
OR 1 2
AND 1 2
SET 1 141
XOR 2 1
SET 2 49
AND 1 2
AND 1 2
OR 2 1
FLIP 1 304
SET 2 413
FLIP 2 223
AND 1 2
AND 1 2
SET 2 63
FLIP 1 102
OR 2 1
XOR 2 1
OR 2 1
SET 1 471
OR 2 1
OR 2 1
XOR 1 2
SET 2 414
SET 2 236
OR 1 2
SET 2 63
XOR 1 2
SET 1 470
FLIP 1 210
OR 2 1
AND 2 1
FLIP 1 422
AND 2 1
AND 2 1
AND 2 1
FLIP 1 124
FLIP 1 462
FLIP 1 519
OR 2 1
AND 2 1
SET 2 394
AND 1 2
AND 1 2
FLIP 2 433
XOR 2 1
SET 1 114
OR 1 2
AND 2 1
SET 2 99
AND 2 1
SET 1 400
SET 1 477
OR 2 1
SET 1 522
AND 1 2
SET 1 12
AND 1 2
SET 2 367
XOR 1 2
XOR 2 1
SET 2 506
OR 2 1
AND 1 2
SET 2 112
AND 1 2
SET 1 323
FLIP 1 328
FLIP 2 89
SET 1 177
SET 2 463
FLIP 2 171
SET 2 92
OR 2 1
AND 2 1
SET 2 228
XOR 2 1
AND 2 1
OR 2 1
XOR 1 2
SET 1 57
SET 2 494
XOR 2 1
XOR 1 2
OR 2 1
XOR 1 2
AND 2 1
OR 2 1
AND 2 1
AND 1 2
FLIP 2 430
AND 1 2
SET 2 340
XOR 1 2
SET 1 481
AND 2 1
OR 1 2
OR 1 2
XOR 2 1
FLIP 1 85
FLIP 2 200
AND 2 1
AND 1 2
AND 2 1
SET 2 419
AND 1 2
XOR 1 2
OR 2 1
SET 2 352
XOR 1 2
XOR 2 1
AND 2 1
OR 1 2
XOR 2 1
FLIP 1 489
FLIP 1 109
XOR 2 1
XOR 2 1
XOR 2 1
AND 1 2
XOR 2 1
AND 1 2
FLIP 2 29
XOR 1 2
SET 1 432
OR 1 2
OR 1 2
SET 1 197
AND 2 1
XOR 2 1
OR 1 2
XOR 2 1
SET 1 413
AND 2 1
OR 2 1
OR 2 1
XOR 1 2
AND 1 2
AND 2 1
FLIP 1 453
XOR 2 1
XOR 2 1
OR 2 1
XOR 2 1
XOR 1 2
OR 2 1
AND 1 2
AND 2 1
AND 1 2
SET 1 83
FLIP 2 324
AND 2 1
SET 1 419
OR 2 1
XOR 2 1
SET 2 23
FLIP 1 283
XOR 2 1
FLIP 2 398
FLIP 1 221
AND 2 1
AND 2 1
AND 2 1
OR 1 2
FLIP 2 6
XOR 2 1
SET 1 425
OR 2 1
OR 2 1
AND 2 1
SET 1 128
FLIP 1 38
XOR 2 1
FLIP 2 23
FLIP 1 384
XOR 1 2
OR 1 2
FLIP 2 43
SET 1 519
AND 2 1
XOR 2 1
SET 1 249
FLIP 2 159
SET 2 420
SET 1 136
OR 2 1
XOR 1 2
OR 2 1
XOR 2 1
SET 1 405
OR 2 1
FLIP 1 286
AND 2 1
XOR 2 1
FLIP 1 363
OR 1 2
OR 2 1
FLIP 2 387
SET 2 419
FLIP 1 290
OR 1 2
FLIP 2 314
XOR 2 1
AND 2 1
AND 2 1
SET 2 173
XOR 1 2
SET 2 446
AND 1 2
XOR 2 1
FLIP 2 289
XOR 2 1
AND 2 1
AND 1 2
FLIP 2 343
XOR 1 2
SET 2 178
FLIP 1 147
XOR 2 1
SET 2 242
SET 2 254
OR 1 2
AND 1 2
FLIP 1 352
SET 1 198
OR 1 2
AND 2 1
XOR 1 2
SET 1 175
SET 1 352
AND 1 2
AND 2 1
XOR 1 2
AND 2 1
AND 2 1
OR 1 2
XOR 2 1
OR 1 2
SET 2 479
FLIP 1 223
AND 2 1
SET 1 410
AND 1 2
XOR 1 2
XOR 1 2
XOR 2 1
SET 2 122
OR 1 2
AND 1 2
FLIP 2 371
FLIP 1 412
XOR 2 1
FLIP 1 102
FLIP 2 472
SET 2 256
SET 1 349
XOR 2 1
OR 1 2
XOR 2 1
AND 1 2
SET 2 140
SET 2 221
OR 2 1
SET 2 21
OR 1 2
XOR 2 1
FLIP 1 437
OR 1 2
XOR 2 1
OR 2 1
FLIP 2 111
OR 2 1
AND 1 2
OR 1 2
XOR 1 2
FLIP 2 61
AND 2 1
XOR 2 1
XOR 1 2
SET 2 51
AND 1 2
XOR 2 1
FLIP 2 406
SET 2 1
FLIP 1 284
OR 2 1
OR 2 1
SET 1 380
SET 1 28
AND 1 2
OR 2 1
XOR 1 2
AND 2 1
SET 2 91
AND 1 2
OR 1 2
XOR 2 1
OR 2 1
XOR 2 1
AND 2 1
XOR 1 2
SET 2 438
FLIP 2 51
AND 1 2
AND 2 1
XOR 2 1
OR 2 1
OR 2 1
AND 1 2
SET 2 99
FLIP 1 502
AND 1 2
SET 2 414
SET 1 402
AND 1 2
XOR 2 1
FLIP 2 488
OR 1 2
XOR 2 1
XOR 1 2
XOR 1 2
SET 1 183
OR 2 1
AND 2 1
XOR 2 1
SET 2 287
FLIP 1 62
SET 2 70
SET 1 484
XOR 2 1
FLIP 1 370
SET 2 60
XOR 1 2
FLIP 2 286
OR 2 1
AND 1 2
XOR 1 2
OR 1 2
AND 2 1
SET 1 206
OR 2 1
SET 1 248
OR 2 1
XOR 2 1
FLIP 1 183
AND 1 2
SET 1 380
FLIP 1 440
OR 1 2
SET 2 382
SET 1 82
XOR 1 2
AND 1 2
AND 1 2
AND 1 2
XOR 1 2
OR 2 1
OR 1 2
SET 1 354
SET 2 288
AND 1 2
SET 1 230
SET 1 210
SET 2 109
SET 1 337
SET 2 377
SET 1 187
OR 1 2
SET 1 381
XOR 1 2
AND 2 1
XOR 2 1
XOR 2 1
AND 2 1
SET 2 304
FLIP 1 97
SET 1 235
FLIP 2 243
XOR 1 2
SET 2 218
OR 2 1
OR 2 1
SET 1 87
XOR 2 1
OR 2 1
XOR 2 1
OR 1 2
FLIP 2 286
SET 1 188
FLIP 1 93
XOR 2 1
OR 1 2
FLIP 1 184
SET 1 214
SET 2 369
FLIP 2 40
FLIP 1 142
FLIP 2 374
OR 1 2
SET 1 258
AND 1 2
AND 2 1
XOR 1 2
XOR 2 1
AND 2 1
AND 2 1
XOR 2 1
AND 2 1
OR 1 2
FLIP 1 426
FLIP 1 162
XOR 1 2
FLIP 1 119
XOR 2 1
FLIP 2 186
SET 2 343
FLIP 2 345
SET 2 341
OR 2 1
OR 1 2
SET 1 139
OR 2 1
FLIP 2 80
FLIP 1 13
FLIP 2 485
OR 1 2
OR 2 1
OR 1 2
SET 1 493
FLIP 1 386
XOR 1 2
AND 1 2
SET 1 151
FLIP 2 110
OR 1 2
FLIP 1 65
XOR 1 2
AND 1 2
SET 1 80
XOR 2 1
OR 2 1
XOR 1 2
FLIP 1 14
FLIP 2 119
OR 1 2
FLIP 2 416
OR 1 2
XOR 2 1
SET 2 29
AND 2 1
OR 1 2
FLIP 1 163
FLIP 2 82
XOR 2 1
XOR 1 2
OR 1 2
OR 1 2
OR 1 2
SET 1 27
XOR 2 1
OR 2 1
SET 2 238
FLIP 1 240
XOR 1 2
XOR 2 1
FLIP 1 368
SET 1 320
XOR 1 2
XOR 1 2
OR 1 2
XOR 1 2
OR 1 2
AND 1 2
FLIP 2 325
SET 1 347
AND 1 2
AND 1 2
AND 1 2
SET 1 246
AND 1 2
XOR 2 1
SET 2 73
SET 1 28
AND 2 1
FLIP 2 219
OR 1 2
SET 1 338
SET 2 496
XOR 2 1
FLIP 2 274
SET 1 182
FLIP 2 314
AND 2 1
FLIP 2 319
FLIP 2 80
FLIP 2 196
SET 2 30
SET 1 290
AND 1 2
OR 2 1
SET 2 222
OR 2 1
FLIP 2 328
SET 1 454
XOR 1 2
SET 2 224
FLIP 1 232
OR 1 2
OR 2 1
OR 2 1
FLIP 2 47
OR 1 2
XOR 1 2
SET 1 217
AND 1 2
SET 2 453
AND 2 1
AND 2 1
OR 1 2
XOR 2 1
FLIP 1 338
FLIP 2 297
SET 1 479
XOR 1 2
XOR 1 2
OR 1 2
SET 1 20
OR 2 1
AND 2 1
OR 2 1
SET 2 58
SET 2 138
FLIP 2 143
OR 1 2
FLIP 1 518
XOR 1 2
AND 1 2
XOR 1 2
AND 1 2
OR 2 1
SET 1 266
XOR 1 2
SET 1 458
OR 1 2
FLIP 1 407
AND 2 1
SET 2 51
FLIP 1 353
AND 2 1
SET 2 265
XOR 1 2
FLIP 2 487
FLIP 1 304
SET 2 391
OR 2 1
FLIP 2 138
OR 1 2
AND 1 2
SET 2 421
SET 2 261
XOR 1 2
FLIP 2 45
XOR 2 1
SET 1 211
SET 1 119
FLIP 1 47
SET 2 450
OR 2 1
FLIP 2 289
AND 2 1
OR 2 1
FLIP 1 129
AND 2 1
SET 1 232
OR 1 2
OR 2 1
AND 2 1
FLIP 1 55
FLIP 1 368
FLIP 1 361
XOR 2 1
SET 1 179
OR 2 1
SET 1 288
OR 2 1
AND 1 2
SET 1 6
SET 1 490
OR 1 2
FLIP 2 353
FLIP 2 89
FLIP 1 342
FLIP 1 166
SET 2 323
AND 1 2
SET 1 46
FLIP 2 386
SET 1 355
XOR 1 2
FLIP 1 3
OR 1 2
XOR 1 2
SET 1 357
XOR 2 1
AND 1 2
AND 2 1
SET 2 135
AND 2 1
OR 2 1
FLIP 1 373
XOR 2 1
OR 2 1
XOR 1 2
FLIP 2 162
SET 2 522
OR 1 2
XOR 1 2
FLIP 1 502
AND 2 1
OR 1 2
SET 2 242
OR 1 2
FLIP 2 473
OR 1 2
AND 1 2
XOR 2 1
XOR 2 1
OR 1 2
OR 2 1
AND 2 1
OR 2 1
FLIP 1 489
FLIP 1 38
OR 2 1
OR 2 1
SET 1 454
OR 1 2
FLIP 1 449
XOR 2 1
SET 1 447
XOR 2 1
FLIP 1 433
OR 2 1
AND 1 2
SET 1 190
SET 2 476
XOR 1 2
XOR 1 2
AND 1 2
AND 2 1
AND 1 2
FLIP 1 186
AND 2 1
OR 1 2
XOR 2 1
OR 1 2
FLIP 2 172
FLIP 1 419
SET 1 493
XOR 2 1
AND 1 2
OR 2 1
XOR 2 1
OR 2 1
AND 1 2
SET 1 467
XOR 1 2
SET 2 63
XOR 2 1
SET 2 65
AND 1 2
FLIP 2 496
AND 2 1
XOR 1 2
AND 1 2
XOR 1 2
XOR 2 1
SET 2 388
AND 1 2
AND 2 1
XOR 2 1
AND 2 1
FLIP 1 82
FLIP 1 259
FLIP 1 200
AND 2 1
FLIP 2 469
SET 1 313
AND 1 2
FLIP 1 26
SET 2 19
FLIP 1 234
XOR 1 2
XOR 1 2
FLIP 1 498
XOR 1 2
OR 1 2
SET 2 365
SET 2 136
AND 2 1
FLIP 2 30
OR 1 2
FLIP 2 359
AND 1 2
SET 2 302
AND 2 1
AND 2 1
FLIP 2 156
AND 2 1
FLIP 2 313
XOR 2 1
XOR 1 2
FLIP 2 219
SET 2 476
XOR 2 1
FLIP 1 313
AND 1 2
SET 2 288
XOR 2 1
FLIP 2 418
AND 1 2
XOR 1 2
FLIP 2 499
FLIP 1 421
XOR 2 1
FLIP 1 207
SET 1 312
SET 2 117
XOR 2 1
AND 1 2
AND 1 2
SET 1 329
XOR 2 1
SET 1 431
OR 2 1
XOR 2 1
AND 1 2
XOR 1 2
FLIP 2 505
OR 1 2
XOR 1 2
OR 2 1
SET 2 259
FLIP 2 26
XOR 2 1
FLIP 2 291
FLIP 2 196
OR 2 1
SET 1 151
OR 1 2
OR 2 1
AND 2 1
SET 1 451
AND 1 2
XOR 1 2
AND 1 2
SET 1 314
SET 1 292
XOR 2 1
FLIP 2 213
AND 1 2
XOR 2 1
XOR 1 2
XOR 2 1
AND 1 2
SET 1 355
AND 2 1
OR 1 2
FLIP 1 511
OR 1 2
AND 1 2
FLIP 1 139
SET 1 192
XOR 2 1
XOR 2 1
FLIP 1 353
FLIP 1 103
AND 2 1
SET 2 274
XOR 1 2
AND 1 2
SET 1 89
SET 1 507
SET 1 359
FLIP 2 333
AND 1 2
AND 2 1
OR 1 2
XOR 2 1
OR 1 2
XOR 1 2
OR 1 2
AND 2 1
AND 2 1
OR 1 2
AND 1 2
OR 2 1
SET 2 149
OR 2 1
SET 1 494
AND 1 2
AND 1 2
OR 1 2
AND 2 1
SET 2 389
OR 2 1
OR 2 1
XOR 1 2
OR 2 1
SET 1 513
AND 2 1
OR 2 1
XOR 1 2
OR 2 1
SET 1 38
FLIP 1 160
XOR 2 1
AND 1 2
SET 2 132
XOR 1 2
XOR 1 2
XOR 2 1
AND 1 2
SET 2 89
XOR 1 2
FLIP 2 254
AND 1 2
XOR 2 1
SET 1 305
OR 2 1
AND 1 2
SET 1 261
OR 1 2
XOR 2 1
OR 1 2
SET 1 249
OR 2 1
OR 1 2
FLIP 2 289
FLIP 2 146
AND 2 1
OR 2 1
SET 2 144
XOR 2 1
FLIP 2 4
AND 2 1
FLIP 2 262
OR 1 2
FLIP 2 205
SET 2 477
OR 1 2
AND 2 1
FLIP 2 233
AND 2 1
SET 2 267
SET 2 90
SET 2 336
OR 2 1
FLIP 2 48
SET 1 462
XOR 2 1
FLIP 1 159
FLIP 2 424
FLIP 2 348
FLIP 2 276
OR 2 1
FLIP 2 13
FLIP 2 308
AND 1 2
OR 2 1
FLIP 2 306
SET 2 501
OR 1 2
XOR 2 1
AND 2 1
SET 2 4
OR 1 2
XOR 1 2
XOR 2 1
SET 2 116
FLIP 2 77
OR 1 2
XOR 2 1
XOR 2 1
AND 1 2
FLIP 2 116
OR 2 1
AND 1 2
SET 1 392
SET 1 18
OR 1 2
AND 2 1
FLIP 2 43
OR 2 1
XOR 2 1
SET 1 5
FLIP 2 439
FLIP 2 227
AND 2 1
SET 2 500
FLIP 2 327
SET 1 190
FLIP 2 63
OR 2 1
OR 1 2
OR 1 2
SET 2 140
AND 2 1
XOR 1 2
AND 1 2
XOR 1 2
FLIP 2 280
AND 1 2
XOR 1 2
AND 1 2
AND 2 1
SET 2 465
XOR 1 2
XOR 2 1
SET 2 107
OR 2 1
SET 2 179
OR 1 2
AND 2 1
FLIP 2 51
SET 2 238
XOR 1 2
FLIP 1 84
AND 1 2
XOR 1 2
XOR 1 2
XOR 1 2
OR 2 1
AND 2 1
SET 1 319
XOR 2 1
XOR 1 2
FLIP 2 223
OR 2 1
FLIP 1 494
OR 1 2
SET 2 287
AND 2 1
XOR 1 2
SET 1 258
FLIP 2 30
AND 1 2
OR 1 2
FLIP 1 132
SET 2 259
OR 2 1
AND 1 2
OR 2 1
OR 1 2
FLIP 2 111
XOR 1 2
XOR 2 1
XOR 1 2
SET 2 131
XOR 1 2
XOR 2 1
FLIP 1 24
FLIP 2 243
SET 1 426
OR 1 2
XOR 1 2
OR 1 2
FLIP 2 317
OR 2 1
AND 1 2
SET 1 314
XOR 1 2
OR 2 1
OR 1 2
XOR 1 2
SET 2 184
OR 1 2
XOR 1 2
AND 1 2
OR 1 2
SET 2 147
AND 1 2
SET 2 367
AND 2 1
FLIP 1 141
AND 1 2
SET 1 376
SET 2 77
OR 2 1
XOR 1 2
AND 2 1
FLIP 1 292
FLIP 1 185
SET 2 338
AND 1 2
OR 1 2
AND 1 2
SET 2 407
SET 1 492
FLIP 1 154
AND 2 1
XOR 2 1
AND 2 1
AND 2 1
OR 1 2
SET 2 225
FLIP 2 339
XOR 1 2
SET 1 278
SET 1 466
AND 2 1
SET 1 404
OR 2 1
AND 2 1
FLIP 1 45
OR 1 2
OR 1 2
XOR 1 2
XOR 2 1
OR 2 1
FLIP 2 62
AND 1 2
FLIP 2 9
SET 2 322
OR 1 2
XOR 1 2
OR 2 1
SET 1 297
AND 2 1
OR 2 1
XOR 2 1
XOR 1 2
AND 2 1
AND 2 1
XOR 1 2
FLIP 2 339
SET 1 222
OR 1 2
SET 2 234
AND 1 2
AND 2 1
SET 1 82
FLIP 2 520
OR 2 1
OR 2 1
XOR 2 1
FLIP 1 99
FLIP 2 187
AND 2 1
SET 1 28
OR 1 2
OR 1 2
FLIP 2 503
XOR 2 1
FLIP 2 192
OR 1 2
AND 1 2
FLIP 1 423
OR 1 2
AND 1 2
SET 1 30
SET 1 13
OR 1 2
SET 2 366
SET 1 499
FLIP 1 176
FLIP 2 306
XOR 2 1
FLIP 2 181
SET 2 387
XOR 2 1
SET 1 13
SET 1 236
FLIP 2 506
SET 1 423
AND 1 2
OR 2 1
AND 1 2
FLIP 1 352
AND 1 2
SET 1 366
OR 2 1
OR 2 1
AND 1 2
AND 2 1
AND 2 1
SET 1 23
AND 1 2
XOR 2 1
OR 1 2
XOR 1 2
OR 1 2
OR 1 2
XOR 2 1
FLIP 2 121
OR 1 2
SET 1 115
XOR 1 2
SET 2 378
OR 1 2
OR 1 2
XOR 1 2
FLIP 2 46
AND 1 2
SET 2 243
OR 2 1
FLIP 2 472
FLIP 1 275
AND 2 1
SET 2 138
AND 1 2
SET 2 454
AND 2 1
FLIP 2 312
AND 1 2
FLIP 2 488
OR 2 1
SET 1 223
OR 2 1
AND 1 2
AND 2 1
FLIP 1 435
OR 2 1
OR 2 1
SET 1 189
AND 1 2
AND 2 1
AND 1 2
FLIP 1 210
AND 2 1
XOR 2 1
FLIP 2 182
XOR 1 2
XOR 1 2
FLIP 1 174
OR 2 1
SET 2 55
AND 2 1
AND 1 2
SET 1 443
SET 1 272
AND 1 2
AND 2 1
SET 1 41
SET 1 429
FLIP 2 89
XOR 2 1
XOR 1 2
AND 1 2
OR 2 1
OR 1 2
FLIP 1 350
SET 2 8
XOR 1 2
AND 1 2
SET 2 14
OR 1 2
XOR 1 2
AND 1 2
AND 2 1
AND 2 1
SET 2 474
AND 2 1
OR 2 1
OR 2 1
AND 2 1
SET 1 33
SET 1 277
AND 1 2
OR 2 1
XOR 1 2
XOR 1 2
OR 1 2
SET 2 207
OR 2 1
SET 1 410
FLIP 1 8
XOR 2 1
SET 1 456
FLIP 1 138
FLIP 1 204
OR 2 1
SET 2 447
OR 1 2
AND 2 1
AND 2 1
OR 1 2
AND 2 1
FLIP 1 14
XOR 2 1
OR 2 1
SET 1 497
AND 2 1
SET 1 424
OR 1 2
SET 2 106
AND 1 2
FLIP 1 372
OR 2 1
OR 1 2
AND 2 1
XOR 2 1
FLIP 2 164
AND 1 2
SET 1 126
XOR 1 2
XOR 1 2
AND 2 1
AND 2 1
OR 1 2
OR 2 1
AND 2 1
AND 2 1
